Timestamp,DOW_Futures,SP500_Futures,MMI_Futures,Treasury,Nikkei_Futures,Gold_Futures,Oil_Futures
1987-10-16 00:00:00,2355.0,298.0,450.0,95.0,26001.49,465.0,20.0
1987-10-16 00:01:00,2355.0,298.0,450.0,95.0,26001.08,465.0,20.0
1987-10-16 00:02:00,2355.0,298.0,450.0,95.0,26003.02,465.0,20.0
1987-10-16 00:03:00,2355.0,298.0,450.0,95.0,26007.59,465.0,20.0
1987-10-16 00:04:00,2355.0,298.0,450.0,95.0,26006.89,465.0,20.0
1987-10-16 00:05:00,2355.0,298.0,450.0,95.0,26006.18,465.0,20.0
1987-10-16 00:06:00,2355.0,298.0,450.0,95.0,26010.92,465.0,20.0
1987-10-16 00:07:00,2355.0,298.0,450.0,95.0,26013.22,465.0,20.0
1987-10-16 00:08:00,2355.0,298.0,450.0,95.0,26011.81,465.0,20.0
1987-10-16 00:09:00,2355.0,298.0,450.0,95.0,26013.44,465.0,20.0
1987-10-16 00:10:00,2355.0,298.0,450.0,95.0,26012.05,465.0,20.0
1987-10-16 00:11:00,2355.0,298.0,450.0,95.0,26010.65,465.0,20.0
1987-10-16 00:12:00,2355.0,298.0,450.0,95.0,26011.38,465.0,20.0
1987-10-16 00:13:00,2355.0,298.0,450.0,95.0,26005.64,465.0,20.0
1987-10-16 00:14:00,2355.0,298.0,450.0,95.0,26000.47,465.0,20.0
1987-10-16 00:15:00,2355.0,298.0,450.0,95.0,25998.78,465.0,20.0
1987-10-16 00:16:00,2355.0,298.0,450.0,95.0,25995.74,465.0,20.0
1987-10-16 00:17:00,2355.0,298.0,450.0,95.0,25996.68,465.0,20.0
1987-10-16 00:18:00,2355.0,298.0,450.0,95.0,25993.96,465.0,20.0
1987-10-16 00:19:00,2355.0,298.0,450.0,95.0,25989.72,465.0,20.0
1987-10-16 00:20:00,2355.0,298.0,450.0,95.0,25994.12,465.0,20.0
1987-10-16 00:21:00,2355.0,298.0,450.0,95.0,25993.44,465.0,20.0
1987-10-16 00:22:00,2355.0,298.0,450.0,95.0,25993.64,465.0,20.0
1987-10-16 00:23:00,2355.0,298.0,450.0,95.0,25989.37,465.0,20.0
1987-10-16 00:24:00,2355.0,298.0,450.0,95.0,25987.74,465.0,20.0
1987-10-16 00:25:00,2355.0,298.0,450.0,95.0,25988.07,465.0,20.0
1987-10-16 00:26:00,2355.0,298.0,450.0,95.0,25984.62,465.0,20.0
1987-10-16 00:27:00,2355.0,298.0,450.0,95.0,25985.74,465.0,20.0
1987-10-16 00:28:00,2355.0,298.0,450.0,95.0,25983.94,465.0,20.0
1987-10-16 00:29:00,2355.0,298.0,450.0,95.0,25983.07,465.0,20.0
1987-10-16 00:30:00,2355.0,298.0,450.0,95.0,25981.26,465.0,20.0
1987-10-16 00:31:00,2355.0,298.0,450.0,95.0,25986.82,465.0,20.0
1987-10-16 00:32:00,2355.0,298.0,450.0,95.0,25986.78,465.0,20.0
1987-10-16 00:33:00,2355.0,298.0,450.0,95.0,25983.6,465.0,20.0
1987-10-16 00:34:00,2355.0,298.0,450.0,95.0,25986.07,465.0,20.0
1987-10-16 00:35:00,2355.0,298.0,450.0,95.0,25982.41,465.0,20.0
1987-10-16 00:36:00,2355.0,298.0,450.0,95.0,25983.04,465.0,20.0
1987-10-16 00:37:00,2355.0,298.0,450.0,95.0,25977.16,465.0,20.0
1987-10-16 00:38:00,2355.0,298.0,450.0,95.0,25973.17,465.0,20.0
1987-10-16 00:39:00,2355.0,298.0,450.0,95.0,25973.76,465.0,20.0
1987-10-16 00:40:00,2355.0,298.0,450.0,95.0,25975.98,465.0,20.0
1987-10-16 00:41:00,2355.0,298.0,450.0,95.0,25976.49,465.0,20.0
1987-10-16 00:42:00,2355.0,298.0,450.0,95.0,25976.15,465.0,20.0
1987-10-16 00:43:00,2355.0,298.0,450.0,95.0,25975.24,465.0,20.0
1987-10-16 00:44:00,2355.0,298.0,450.0,95.0,25970.81,465.0,20.0
1987-10-16 00:45:00,2355.0,298.0,450.0,95.0,25968.65,465.0,20.0
1987-10-16 00:46:00,2355.0,298.0,450.0,95.0,25967.27,465.0,20.0
1987-10-16 00:47:00,2355.0,298.0,450.0,95.0,25970.44,465.0,20.0
1987-10-16 00:48:00,2355.0,298.0,450.0,95.0,25971.47,465.0,20.0
1987-10-16 00:49:00,2355.0,298.0,450.0,95.0,25966.18,465.0,20.0
1987-10-16 00:50:00,2355.0,298.0,450.0,95.0,25967.15,465.0,20.0
1987-10-16 00:51:00,2355.0,298.0,450.0,95.0,25966.0,465.0,20.0
1987-10-16 00:52:00,2355.0,298.0,450.0,95.0,25963.97,465.0,20.0
1987-10-16 00:53:00,2355.0,298.0,450.0,95.0,25965.8,465.0,20.0
1987-10-16 00:54:00,2355.0,298.0,450.0,95.0,25968.89,465.0,20.0
1987-10-16 00:55:00,2355.0,298.0,450.0,95.0,25971.69,465.0,20.0
1987-10-16 00:56:00,2355.0,298.0,450.0,95.0,25969.17,465.0,20.0
1987-10-16 00:57:00,2355.0,298.0,450.0,95.0,25968.24,465.0,20.0
